,latitude,longitude
0,-27.13469,-48.605182
1,-27.134692,-48.605184
2,-27.13467,-48.605176
3,-27.134672,-48.605177
4,-27.134673,-48.605179
5,-27.134675,-48.60518
6,-27.134676,-48.605182
7,-27.134678,-48.605183
8,-27.13468,-48.605184
9,-27.134682,-48.605186
10,-27.134684,-48.605187
11,-27.134686,-48.605187
12,-27.134688,-48.605188
13,-27.13469,-48.605189
14,-27.134692,-48.60519
15,-27.134694,-48.605191
16,-27.134696,-48.605191
17,-27.134698,-48.605192
18,-27.134701,-48.605192
19,-27.134692,-48.605202
20,-27.134694,-48.605203
21,-27.134696,-48.605204
22,-27.134698,-48.605204
23,-27.1347,-48.605204
24,-27.134702,-48.605205
25,-27.134704,-48.605205
26,-27.134706,-48.605206
27,-27.134708,-48.605206
28,-27.13471,-48.605206
29,-27.134712,-48.605206
30,-27.134714,-48.605206
31,-27.134716,-48.605206
32,-27.134718,-48.605206
33,-27.13472,-48.605206
34,-27.134722,-48.605206
35,-27.134724,-48.605206
36,-27.134726,-48.605206
37,-27.134728,-48.605206
38,-27.13473,-48.605206
39,-27.134732,-48.605206
40,-27.134734,-48.605206
41,-27.134714,-48.605243
42,-27.134716,-48.605244
43,-27.134718,-48.605245
44,-27.13472,-48.605246
45,-27.134722,-48.605247
46,-27.134724,-48.605247
47,-27.134726,-48.605248
48,-27.134728,-48.605249
49,-27.13473,-48.605249
50,-27.134732,-48.60525
51,-27.134734,-48.60525
52,-27.134736,-48.605251
53,-27.134738,-48.605251
54,-27.13474,-48.605251
55,-27.134743,-48.605252
56,-27.134745,-48.605252
57,-27.134747,-48.605252
58,-27.134749,-48.605253
59,-27.134751,-48.605253
60,-27.134753,-48.605253
61,-27.134755,-48.605253
62,-27.134757,-48.605253
63,-27.134749,-48.60531
64,-27.134751,-48.605312
65,-27.134753,-48.605314
66,-27.134755,-48.605315
67,-27.134756,-48.605317
68,-27.134758,-48.605318
69,-27.13476,-48.605319
70,-27.134762,-48.605321
71,-27.134764,-48.605322
72,-27.134766,-48.605323
73,-27.134767,-48.605325
74,-27.134769,-48.605325
75,-27.134771,-48.605327
76,-27.134773,-48.605328
